Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-05-07,19:00 (20:00),Minnesota Utd,1.3,0–1,1.8,FC Cincinnati,19662,Allianz Field,Marcos de Oliveira,Match Report,
Sat,2022-05-07,19:00 (22:00),San Jose,1.3,1–0,1.2,Colorado Rapids,14077,Avaya Stadium,Tori Penso,Match Report,
Sat,2022-05-07,19:30 (20:30),FC Dallas,1.9,2–0,0.3,Seattle,19096,Toyota Stadium,Allen Chapman,Match Report,
Sat,2022-05-07,20:00 (23:00),Los Angeles FC,1.7,2–2,1.0,Philadelphia,22022,Banc of California Stadium,Jair Marrufo,Match Report,
Sat,2022-05-14,15:00,Toronto FC,0.5,0–1,1.7,Orlando City,26146,BMO Field,Nima Saghafi,Match Report,
Sat,2022-05-14,15:30,Colorado Rapids,3.2,2–0,1.1,Los Angeles FC,15022,Dick's Sporting Goods Park,Ted Unkel,Match Report,
Sat,2022-05-14,16:00 (19:00),Vancouver,1.6,3–3,2.6,San Jose,15087,BC Place,Tim Ford,Match Report,
Sat,2022-05-14,19:00,Charlotte,1.4,0–2,1.1,CF Montréal,33323,Bank of America Stadium,Silviu Petrescu,Match Report,
Sat,2022-05-14,19:00,NYCFC,2.3,2–0,0.8,Columbus Crew,18813,Yankee Stadium,Marcos de Oliveira,Match Report,
Sat,2022-05-14,19:30,Philadelphia,2.7,1–1,1.2,NY Red Bulls,18579,Subaru Park,Rubiel Vazquez,Match Report,
Sun,2022-05-15,13:00 (16:00),Seattle,2.7,3–1,1.2,Minnesota Utd,32613,Lumen Field,Joe Dickerson,Match Report,
Sun,2022-05-15,13:30,Atlanta Utd,1.4,2–2,1.4,New England,42516,Mercedes-Benz Stadium,Allen Chapman,Match Report,
Sat,2022-05-14,19:00 (20:00),Chicago Fire,1.1,1–2,0.8,FC Cincinnati,14049,Soldier Field,Tori Penso,Match Report,
Sat,2022-05-14,19:00 (22:00),Portland Timbers,3.1,7–2,1.2,Sporting KC,23503,Providence Park,Victor Rivas,Match Report,
Sat,2022-05-14,19:30 (22:30),LA Galaxy,1.1,1–3,2.7,FC Dallas,25174,Dignity Health Sports Park,Chris Penso,Match Report,
Sat,2022-05-14,19:30 (20:30),Houston Dynamo,1.8,2–0,1.0,Nashville,16035,PNC Stadium,Ramy Touchan,Match Report,
Sat,2022-05-14,19:30 (21:30),Real Salt Lake,1.1,2–1,0.7,Austin,20122,America First Field,Lukasz Szpala,Match Report,
Sat,2022-05-14,20:00,Inter Miami,0.8,2–2,0.9,D.C. United,13317,Lockhart Stadium,Pierre-Luc Lauziere,Match Report,
Wed,2022-05-18,19:30,NY Red Bulls,2.6,3–3,1.6,Chicago Fire,13257,Red Bull Arena,Ted Unkel,Match Report,
Wed,2022-05-18,19:30,Philadelphia,1.6,0–0,0.9,Inter Miami,15747,Subaru Park,Fotis Bazakos,Match Report,
Wed,2022-05-18,19:30,D.C. United,0.7,0–2,1.7,NYCFC,16072,Audi Field,Chris Penso,Match Report,
Wed,2022-05-18,19:00 (22:00),Vancouver,1.2,2–1,1.2,FC Dallas,12716,BC Place,Ismir Pekmic,Match Report,
Wed,2022-05-18,19:00 (20:00),Minnesota Utd,2.8,1–1,2.2,LA Galaxy,19645,Allianz Field,Jair Marrufo,Match Report,
Wed,2022-05-18,19:30 (22:30),Los Angeles FC,2.4,1–2,1.0,Austin,22034,Banc of California Stadium,Armando Villarreal,Match Report,
Wed,2022-05-18,19:30 (20:30),Houston Dynamo,1.1,0–1,0.9,Seattle,11093,PNC Stadium,Rubiel Vazquez,Match Report,
